web-scraper-order,web-scraper-start-url,tarih,link,link-href,intro
"1600195705-1789","https://www.hurriyet.com.tr/arama/#/?page=72&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","4.3.2016","Ürdünlü kadınlar dövüş sanatı öğreniyor","","Ürdünlü kadınlar şiddet ve tacizden korunmak için boks, dövüş ve Uzakdoğu sporları öğreniyor. Ellerinde boksör eldivenleri ile ringde ya da spor salonundaki genç kadınlar, Ürdün'ün Taekwondo siyah kemer sahibi ve 20 altın Madalyalı şampiyonu Lina Khalifeh tarafından eğitiliyorlar."
"1600195456-670","https://www.hurriyet.com.tr/arama/#/?page=184&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","25.11.2015","Malatya İl Sağlık Müdürü Dr. Nail Umay:","","MALATYA İL SAĞLIK MÜDÜRÜ DR. NAİL UMAY, 25 KASIM KADINA YÖNELİK ŞİDDETE KARŞI ULUSLARARASI MÜCADELE GÜNÜ DOLAYISIYLA YAZILI BİR AÇIKLAMA YAPTI."
"1600195353-208","https://www.hurriyet.com.tr/arama/#/?page=230&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","9.2.2020","‘İnfaz’a rötuş","","Adalet Bakanlığı’nın aylardır üzerinde çalıştığı ‘infaz düzenlemesi’ önümüzdeki haftalarda TBMM’ye gelecek. Son toplantıda genel çerçevenin onaylandığı, Erdoğan’ın uyarıları üzerine ‘alternatif infaz’ yöntemlerinin gözden geçirildiği öğrenildi."
"1600195447-622","https://www.hurriyet.com.tr/arama/#/?page=188&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","12.10.2017","Erhan Çelik’e hapis talebi","","GÜLBEN Ergen’in mahkemeye başvurarak hakkında uzaklaştırma kararı aldırdığı Erhan Çelik’e savcılıktan kötü bir haber daha geldi."
"1600195531-1006","https://www.hurriyet.com.tr/arama/#/?page=150&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","12.12.2015","İnsan Hakları Komisyonu’ndan Kaymakam Aksoy’a Ziyaret","","KUŞADASI BELEDİYE MECLİSİ İNSAN HAKLARI KOMİSYONU ÜYELERİ, KAYMAKAM MUAMMER AKSOY'U MAKAMINDA ZİYARET ETTİ"
"1600195567-1166","https://www.hurriyet.com.tr/arama/#/?page=134&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","26.11.2017","Kılıçdaroğlu'na: İspatla, makamımı bırakırım","","Cumhurbaşkanı Tayyip Erdoğan, CHP Lideri Kemal Kılıçdaroğlu’na  “Tayyip Erdoğan’ın yurtdışında bir kuruş parası varsa, çıksın bunu ispat etsin. İspat ettiği anda Cumhurbaşkanlığı makamında bir dakika durmayacağımın taahhüdünü veriyorum. Bunu ispat edemeyen Kemal, acaba o makamında duracak mı” diye seslendi. Erdoğan‘Kadına Yönelik Şiddete Karşı Uluslararası Mücadele Günü’nde özetle şunları söyledi:"
"1600195625-1421","https://www.hurriyet.com.tr/arama/#/?page=108&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","22.11.2019","KADEM, “Sen Varsan Şiddete Yer Yok!” Diyor","","Kadın ve Demokrasi Derneği (KADEM), 25 Kasım Kadına Yönelik Şiddete Karşı Mücadele Günü kapsamında hazırladığı kamu spotuyla, “Sen varsan şiddete yer yok!” mesajı veriyor ve şiddete kayıtsız kalmamanın insani ve vicdani bir sorumluluk olduğuna dikkat çekiyor."
"1600195429-550","https://www.hurriyet.com.tr/arama/#/?page=196&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","16.2.2015","Üniversite öğrencisi Özgecan'ın öldürülmesi","","- Hatay Barosu Kadın Hakları Komisyonu üyeleri, Özgecan Aslan'ın öldürülmesini protesto etti"
"1600195609-1355","https://www.hurriyet.com.tr/arama/#/?page=115&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","15.11.2019","Kadına Yönelik Şiddet İzleme Komitesi Toplantısı yapıldı","","Aile Çalışma ve Sosyal Hizmetler Bakanı Zehra Zümrüt Selçuk, tüm Türkiye'nin tek yürek olabilmesi halinde kadına yönelik şiddete karşı daha hızlı sonuç alınacağına inandığını söyledi."
"1600195467-711","https://www.hurriyet.com.tr/arama/#/?page=179&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","23.2.2018","CHP'li kadınlardan çocuk istismarlarına karşı sessiz eylem","","CHP'li kadınlardan çocuk istismarlarına karşı sessiz eylem"
